Country,ISO3,Indicator,Unit,2018,2019,2020,2021,2022
Brunei Darussalam,BRN,Tree-covered areas,1000 HA,497.75,496.71,495.78,495.5,495.27
Brunei Darussalam,BRN,Woody crops,1000 HA,26.24,26.65,26.97,26.81,26.6
Bhutan,BTN,Climate Altering Land Cover Index,Index,102.828989192626,102.113525291871,102.338933873195,101.446549231891,101.541640178004
Bhutan,BTN,Artificial surfaces (including urban and associated areas),1000 HA,0.24,0.24,0.28,0.27,0.29
Bhutan,BTN,Grassland,1000 HA,539.07,539.91,540.89,540.35,538.3
Bhutan,BTN,Herbaceous crops,1000 HA,64.46,64.01,64.12,63.56,63.6
Bhutan,BTN,Inland water bodies,1000 HA,1.13,1.13,1.13,1.13,1.17
Bhutan,BTN,Mangroves,1000 HA,0.0,0.0,0.0,0.0,0.0
Bhutan,BTN,Permanent snow and glaciers,1000 HA,104.63,104.63,104.79,104.63,104.63
Bhutan,BTN,Shrub-covered areas,1000 HA,103.13,104.5,106.25,107.19,107.68
Bhutan,BTN,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,0.11,0.11,0.11,0.11,0.11
Bhutan,BTN,Sparsely natural vegetated areas,1000 HA,4.78,4.78,4.78,4.78,4.78
Bhutan,BTN,Terrestrial barren land,1000 HA,6.43,6.46,6.53,6.46,6.49
Bhutan,BTN,Tree-covered areas,1000 HA,2953.84,2952.08,2949.45,2949.38,2950.82
Bhutan,BTN,Woody crops,1000 HA,4.11,4.09,4.09,4.06,4.06
"China, P.R.: Mainland",CHN,Climate Altering Land Cover Index,Index,97.7107202589778,96.8460729685146,96.7140927982181,96.6242933559381,96.662384757017
"China, P.R.: Mainland",CHN,Artificial surfaces (including urban and associated areas),1000 HA,10260.9,10614.52,10871.1,11315.62,11845.39
"China, P.R.: Mainland",CHN,Grassland,1000 HA,289097.63,288376.69,287984.37,287295.12,286706.18
"China, P.R.: Mainland",CHN,Herbaceous crops,1000 HA,186969.18,184870.34,184347.49,183721.59,183268.71
"China, P.R.: Mainland",CHN,Inland water bodies,1000 HA,12598.5,12616.3,12621.1,12641.82,12666.66
"China, P.R.: Mainland",CHN,Mangroves,1000 HA,203.38,206.22,206.25,207.96,209.31
"China, P.R.: Mainland",CHN,Permanent snow and glaciers,1000 HA,6286.23,6286.23,6285.56,6286.22,6286.22
"China, P.R.: Mainland",CHN,Shrub-covered areas,1000 HA,23315.03,23323.56,23398.89,23423.17,23489.8
"China, P.R.: Mainland",CHN,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,3251.04,3245.31,3242.14,3241.04,3237.66
"China, P.R.: Mainland",CHN,Sparsely natural vegetated areas,1000 HA,23322.31,23963.71,24306.71,24769.19,25292.64
"China, P.R.: Mainland",CHN,Terrestrial barren land,1000 HA,165155.08,165288.1,165073.71,164968.74,164704.39
"China, P.R.: Mainland",CHN,Tree-covered areas,1000 HA,185550.68,185975.3,186122.83,186499.64,186742.2
"China, P.R.: Mainland",CHN,Woody crops,1000 HA,30425.16,31669.22,31975.99,32065.46,31986.42
Cyprus,CYP,Climate Altering Land Cover Index,Index,101.360854525411,98.9622533926331,100.578939325212,99.9153031352948,100.057019044361
Cyprus,CYP,Artificial surfaces (including urban and associated areas),1000 HA,29.01,29.06,29.08,29.21,30.08
Cyprus,CYP,Grassland,1000 HA,88.08,89.06,89.11,89.11,89.29
Cyprus,CYP,Herbaceous crops,1000 HA,237.64,231.28,235.53,233.64,233.14
Cyprus,CYP,Inland water bodies,1000 HA,16.97,17.0,17.13,17.0,17.0
Cyprus,CYP,Mangroves,1000 HA,0.0,0.0,0.0,0.0,0.0
Cyprus,CYP,Permanent snow and glaciers,1000 HA,0.0,0.0,0.0,0.0,0.0
Cyprus,CYP,Shrub-covered areas,1000 HA,115.85,115.08,115.06,115.28,115.42
Cyprus,CYP,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,0.6,0.6,0.61,0.6,0.59
Cyprus,CYP,Sparsely natural vegetated areas,1000 HA,134.41,133.28,133.11,133.07,132.94
Cyprus,CYP,Terrestrial barren land,1000 HA,69.13,68.95,68.74,68.76,68.23
Cyprus,CYP,Tree-covered areas,1000 HA,183.28,184.73,184.96,184.74,184.84
Cyprus,CYP,Woody crops,1000 HA,59.75,65.68,61.45,63.32,63.19
Georgia,GEO,Climate Altering Land Cover Index,Index,92.4774229318235,91.7039248473192,91.9239088613288,92.1695499955762,92.7702251648977
Georgia,GEO,Artificial surfaces (including urban and associated areas),1000 HA,78.44,78.46,78.46,79.71,81.04
Georgia,GEO,Grassland,1000 HA,944.67,944.95,945.65,943.71,943.7
Georgia,GEO,Herbaceous crops,1000 HA,1210.17,1199.37,1202.45,1204.61,1211.65
Georgia,GEO,Inland water bodies,1000 HA,36.56,36.58,36.52,36.58,36.57
Georgia,GEO,Mangroves,1000 HA,0.0,0.0,0.0,0.0,0.0
Georgia,GEO,Permanent snow and glaciers,1000 HA,37.86,37.86,37.94,37.86,37.86
Georgia,GEO,Shrub-covered areas,1000 HA,619.61,620.48,620.2,617.36,617.09
Georgia,GEO,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,9.84,9.84,9.68,9.71,9.58
Georgia,GEO,Sparsely natural vegetated areas,1000 HA,47.69,47.78,48.01,48.11,48.15
Georgia,GEO,Terrestrial barren land,1000 HA,114.64,114.68,114.54,113.92,113.71
Georgia,GEO,Tree-covered areas,1000 HA,3403.03,3401.21,3392.42,3396.53,3385.86
Georgia,GEO,Woody crops,1000 HA,479.4,490.69,496.11,493.81,496.7
"China, P.R.: Hong Kong",HKG,Climate Altering Land Cover Index,Index,100.287526491819,100.318091451292,97.2043804372882,98.7366884532861,98.9843567230935
"China, P.R.: Hong Kong",HKG,Artificial surfaces (including urban and associated areas),1000 HA,15.06,15.07,15.44,15.47,15.49
"China, P.R.: Hong Kong",HKG,Grassland,1000 HA,7.61,7.64,7.43,8.08,8.17
"China, P.R.: Hong Kong",HKG,Herbaceous crops,1000 HA,10.16,10.16,8.98,9.36,9.4
"China, P.R.: Hong Kong",HKG,Inland water bodies,1000 HA,13.53,13.53,13.33,13.53,13.53
"China, P.R.: Hong Kong",HKG,Mangroves,1000 HA,2.43,2.44,2.48,2.41,2.4
"China, P.R.: Hong Kong",HKG,Permanent snow and glaciers,1000 HA,0.0,0.0,0.0,0.0,0.0
"China, P.R.: Hong Kong",HKG,Shrub-covered areas,1000 HA,5.8,5.87,5.85,6.19,6.36
"China, P.R.: Hong Kong",HKG,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,0.27,0.27,0.26,0.26,0.26
"China, P.R.: Hong Kong",HKG,Sparsely natural vegetated areas,1000 HA,0.05,0.05,0.05,0.05,0.05
"China, P.R.: Hong Kong",HKG,Terrestrial barren land,1000 HA,0.0,0.0,0.0,0.0,0.0
"China, P.R.: Hong Kong",HKG,Tree-covered areas,1000 HA,50.74,50.63,50.62,49.01,48.67
"China, P.R.: Hong Kong",HKG,Woody crops,1000 HA,3.39,3.39,4.49,4.68,4.7
Indonesia,IDN,Climate Altering Land Cover Index,Index,99.4739647017877,99.5343792127294,99.6030750859451,99.1876294659903,99.1871386537079
Indonesia,IDN,Artificial surfaces (including urban and associated areas),1000 HA,1268.79,1275.74,1312.15,1338.14,1398.3
Indonesia,IDN,Grassland,1000 HA,10192.14,10244.05,10290.96,10294.19,10277.54
Indonesia,IDN,Herbaceous crops,1000 HA,21025.15,21031.74,21010.84,20891.62,20831.35
Indonesia,IDN,Inland water bodies,1000 HA,3922.72,3919.96,3919.54,3935.82,3942.25
Indonesia,IDN,Mangroves,1000 HA,4094.69,4089.63,4077.2,4058.32,4048.58
Indonesia,IDN,Permanent snow and glaciers,1000 HA,0.0,0.0,0.0,0.0,0.0
Indonesia,IDN,Shrub-covered areas,1000 HA,7616.36,7662.08,7698.66,7704.75,7688.63
Indonesia,IDN,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,0.0,0.0,0.0,0.0,0.0
Indonesia,IDN,Sparsely natural vegetated areas,1000 HA,2107.68,2132.18,2140.48,2148.64,2153.45
Indonesia,IDN,Terrestrial barren land,1000 HA,0.0,0.0,0.0,0.0,0.0
Indonesia,IDN,Tree-covered areas,1000 HA,118456.38,118161.93,117929.97,117891.37,117985.31
Indonesia,IDN,Woody crops,1000 HA,21264.98,21431.58,21570.06,21685.98,21623.42
Israel,ISR,Climate Altering Land Cover Index,Index,105.644031384271,105.377825518401,105.23022795919,105.101773069002,105.610322485205
Israel,ISR,Artificial surfaces (including urban and associated areas),1000 HA,79.64,80.38,80.44,82.67,88.48
Israel,ISR,Grassland,1000 HA,86.95,86.96,86.94,87.13,87.56
Israel,ISR,Herbaceous crops,1000 HA,372.77,370.89,370.25,367.42,363.79
Israel,ISR,Inland water bodies,1000 HA,47.49,47.49,47.49,47.49,47.49
Israel,ISR,Mangroves,1000 HA,0.0,0.0,0.0,0.0,0.0
Israel,ISR,Permanent snow and glaciers,1000 HA,0.0,0.0,0.0,0.0,0.0
Israel,ISR,Shrub-covered areas,1000 HA,62.46,62.46,62.56,62.64,62.55
Israel,ISR,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,0.09,0.09,0.09,0.09,0.09
Israel,ISR,Sparsely natural vegetated areas,1000 HA,74.51,75.37,75.91,75.73,75.48
Israel,ISR,Terrestrial barren land,1000 HA,1175.34,1173.62,1173.13,1171.73,1169.44
Israel,ISR,Tree-covered areas,1000 HA,80.74,81.23,81.63,82.21,83.23
Israel,ISR,Woody crops,1000 HA,97.01,98.51,98.8,99.9,98.91
India,IND,Climate Altering Land Cover Index,Index,99.3855926914664,99.1837940539005,98.8590346928401,98.7440146677739,98.4817796119374
India,IND,Artificial surfaces (including urban and associated areas),1000 HA,2131.87,2201.78,2241.11,2355.23,2572.08
India,IND,Grassland,1000 HA,25167.88,25180.7,25185.75,25187.61,25158.16
India,IND,Herbaceous crops,1000 HA,175477.97,175047.15,174426.34,174107.87,173422.38
India,IND,Inland water bodies,1000 HA,5093.51,5106.54,5109.53,5131.23,5157.6
India,IND,Mangroves,1000 HA,351.23,351.41,351.27,355.76,363.94
India,IND,Permanent snow and glaciers,1000 HA,783.16,783.16,783.27,783.16,783.16
India,IND,Shrub-covered areas,1000 HA,21268.16,21362.81,21412.69,21434.46,21437.72
India,IND,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,707.69,707.58,707.28,707.91,708.06
India,IND,Sparsely natural vegetated areas,1000 HA,525.89,528.97,530.37,530.55,529.94
India,IND,Terrestrial barren land,1000 HA,1249.59,1250.2,1250.51,1251.46,1252.51
India,IND,Tree-covered areas,1000 HA,49730.26,49992.81,50138.4,50321.34,50841.39
India,IND,Woody crops,1000 HA,15010.86,14984.49,15359.21,15331.17,15270.8
Iraq,IRQ,Climate Altering Land Cover Index,Index,98.4726454018446,98.8348971528274,97.6442267084979,97.6910318395346,97.7867642353958
Iraq,IRQ,Artificial surfaces (including urban and associated areas),1000 HA,189.35,208.51,208.53,215.9,233.11
Iraq,IRQ,Grassland,1000 HA,934.91,939.03,938.91,939.69,941.4
Iraq,IRQ,Herbaceous crops,1000 HA,7811.47,7821.75,7724.9,7721.42,7711.99
Iraq,IRQ,Inland water bodies,1000 HA,493.76,508.96,512.53,512.48,512.13
Iraq,IRQ,Mangroves,1000 HA,0.0,0.0,0.0,0.0,0.0
Iraq,IRQ,Permanent snow and glaciers,1000 HA,0.0,0.0,0.0,0.0,0.0
Iraq,IRQ,Shrub-covered areas,1000 HA,349.56,349.55,349.5,349.52,349.39
Iraq,IRQ,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,33.51,33.48,33.52,33.46,33.47
Iraq,IRQ,Sparsely natural vegetated areas,1000 HA,398.28,423.05,428.81,430.82,431.48
Iraq,IRQ,Terrestrial barren land,1000 HA,32647.46,32537.54,32521.97,32514.7,32502.6
Iraq,IRQ,Tree-covered areas,1000 HA,255.29,259.5,261.18,262.67,265.99
Iraq,IRQ,Woody crops,1000 HA,597.38,629.64,730.67,730.34,729.45
"Iran, Islamic Rep. of",IRN,Climate Altering Land Cover Index,Index,100.215995267215,100.199949097817,100.29100914353,100.419395595206,100.594766620945
"Iran, Islamic Rep. of",IRN,Artificial surfaces (including urban and associated areas),1000 HA,482.59,518.22,518.25,545.18,589.09
"Iran, Islamic Rep. of",IRN,Grassland,1000 HA,7297.04,7348.29,7375.97,7371.64,7364.82
"Iran, Islamic Rep. of",IRN,Herbaceous crops,1000 HA,23615.5,23575.98,23598.05,23601.83,23600.09
"Iran, Islamic Rep. of",IRN,Inland water bodies,1000 HA,6292.51,6299.79,6306.98,6307.81,6309.03
"Iran, Islamic Rep. of",IRN,Mangroves,1000 HA,1.17,1.17,1.15,1.17,1.17
"Iran, Islamic Rep. of",IRN,Permanent snow and glaciers,1000 HA,0.0,0.0,0.0,0.0,0.0
"Iran, Islamic Rep. of",IRN,Shrub-covered areas,1000 HA,6832.05,6831.41,6832.85,6833.38,6833.7
"Iran, Islamic Rep. of",IRN,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,82.28,82.28,82.45,82.39,82.37
"Iran, Islamic Rep. of",IRN,Sparsely natural vegetated areas,1000 HA,11581.72,11717.99,11777.14,11873.38,11915.55
"Iran, Islamic Rep. of",IRN,Terrestrial barren land,1000 HA,106105.3,105866.83,105752.81,105625.97,105536.55
"Iran, Islamic Rep. of",IRN,Tree-covered areas,1000 HA,3098.72,3107.17,3109.4,3117.86,3128.45
"Iran, Islamic Rep. of",IRN,Woody crops,1000 HA,2814.58,2854.11,2849.61,2842.92,2842.71
Jordan,JOR,Climate Altering Land Cover Index,Index,99.576355661882,101.505183413078,100.189204749962,99.5439593301436,100.221678128841
Jordan,JOR,Artificial surfaces (including urban and associated areas),1000 HA,41.74,44.37,44.33,45.8,49.62
Jordan,JOR,Grassland,1000 HA,42.5,43.6,43.77,44.09,44.48
Jordan,JOR,Herbaceous crops,1000 HA,357.84,362.95,357.68,353.65,352.55
Jordan,JOR,Inland water bodies,1000 HA,46.98,46.98,46.94,47.02,47.02
Jordan,JOR,Mangroves,1000 HA,0.0,0.0,0.0,0.0,0.0
Jordan,JOR,Permanent snow and glaciers,1000 HA,0.0,0.0,0.0,0.0,0.0
Jordan,JOR,Shrub-covered areas,1000 HA,8.31,8.27,8.27,8.27,8.21
Jordan,JOR,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,0.06,0.06,0.06,0.06,0.06
Jordan,JOR,Sparsely natural vegetated areas,1000 HA,182.47,187.93,194.64,195.3,195.47
Jordan,JOR,Terrestrial barren land,1000 HA,8099.06,8089.91,8082.46,8079.04,8075.56
Jordan,JOR,Tree-covered areas,1000 HA,17.76,18.27,18.26,18.56,19.28
Jordan,JOR,Woody crops,1000 HA,140.29,134.67,139.95,145.22,144.77
Japan,JPN,Climate Altering Land Cover Index,Index,100.440692946065,100.526732617031,100.588256976798,100.639209713965,100.71043259665
Japan,JPN,Artificial surfaces (including urban and associated areas),1000 HA,1802.27,1808.83,1808.48,1824.58,1850.23
Japan,JPN,Grassland,1000 HA,1403.44,1405.41,1404.25,1409.04,1418.3
Japan,JPN,Herbaceous crops,1000 HA,6754.6,6755.37,6760.76,6749.2,6729.62
Japan,JPN,Inland water bodies,1000 HA,944.92,944.92,946.2,944.68,944.56
Japan,JPN,Mangroves,1000 HA,2.96,2.96,2.98,2.96,2.96
Japan,JPN,Permanent snow and glaciers,1000 HA,0.0,0.0,0.0,0.0,0.0
Japan,JPN,Shrub-covered areas,1000 HA,895.61,897.21,896.63,901.13,910.19
Japan,JPN,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,80.38,80.21,80.25,79.99,79.55
Japan,JPN,Sparsely natural vegetated areas,1000 HA,3.76,3.68,3.7,3.7,3.69
Japan,JPN,Terrestrial barren land,1000 HA,3.16,3.18,3.17,3.16,3.15
Japan,JPN,Tree-covered areas,1000 HA,25087.7,25083.19,25083.36,25079.28,25056.74
Japan,JPN,Woody crops,1000 HA,453.35,447.19,441.49,434.42,433.16
Kyrgyz Rep.,KGZ,Climate Altering Land Cover Index,Index,99.7689548559035,99.6828166948161,99.6834049889832,99.8043867749808,99.8608641681997
Kyrgyz Rep.,KGZ,Artificial surfaces (including urban and associated areas),1000 HA,49.21,50.44,50.39,56.06,62.92
Kyrgyz Rep.,KGZ,Grassland,1000 HA,8457.43,8430.28,8428.69,8420.56,8408.18
Kyrgyz Rep.,KGZ,Herbaceous crops,1000 HA,3678.17,3673.72,3673.82,3672.64,3667.89
Kyrgyz Rep.,KGZ,Inland water bodies,1000 HA,720.3,720.33,720.16,720.3,720.38
Kyrgyz Rep.,KGZ,Mangroves,1000 HA,0.0,0.0,0.0,0.0,0.0
Kyrgyz Rep.,KGZ,Permanent snow and glaciers,1000 HA,609.51,609.51,609.28,609.51,609.51
Kyrgyz Rep.,KGZ,Shrub-covered areas,1000 HA,809.18,812.26,812.75,813.72,814.92
Kyrgyz Rep.,KGZ,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,0.0,0.0,0.0,0.0,0.0
Kyrgyz Rep.,KGZ,Sparsely natural vegetated areas,1000 HA,2117.74,2118.97,2118.06,2125.84,2137.69
Kyrgyz Rep.,KGZ,Terrestrial barren land,1000 HA,1796.78,1795.58,1792.57,1781.99,1769.11
Kyrgyz Rep.,KGZ,Tree-covered areas,1000 HA,1477.63,1506.15,1511.38,1516.39,1526.7
Kyrgyz Rep.,KGZ,Woody crops,1000 HA,219.89,218.59,218.88,218.81,218.52
Cambodia,KHM,Climate Altering Land Cover Index,Index,97.0907427497506,95.7031200348167,94.3386302374352,93.8711567303572,93.618022181647
